UP,VP,Red,Green,Blue
0.18846179,0.27257547,35.61297017,65.17656412,15.75511678
0.161539651,0.40102798,37.14493774,38.889901,27.72803016
0.13735995,0.468793721,23.79974514,9.808629393,19.50760455
0.227724703,0.382530708,37.67722239,62.47213482,31.56821165
0.208207105,0.291972968,19.67277455,37.43405052,9.405517139
0.138585808,0.554405368,42.04816617,14.87607636,57.1271321
0.292098093,0.413215259,40.54434804,70.59668865,39.83115324
0.194802731,0.488239757,44.19900751,45.71945338,42.36870313
0.147486498,0.547029497,45.202085,20.80354856,55.24286253
0.132192142,0.494643534,23.82015208,7.533759526,20.66742804
0.192987377,0.363113604,39.79711651,57.84971094,25.82121448
0.184971098,0.518026844,47.31364953,36.28424037,54.97982562
0.140622732,0.502885914,36.0280129,19.43908547,32.40766744
0.228225806,0.310282258,43.13641398,71.45949682,24.79822957
0.20876494,0.487649402,44.94754548,45.62230241,48.32447635
0.17006518,0.295371644,23.30912248,38.18751656,13.18089998
0.126114423,0.5523818,29.81438088,7.612157507,38.48741478
0.196814314,0.297839843,35.93755315,65.00322331,20.52385179
0.152992093,0.404055806,30.55417697,23.48993134,21.44959963
0.203460933,0.272155218,37.32145942,67.09146494,23.40050423
0.201949861,0.480710306,47.5195473,43.0948073,48.5623061
0.156609485,0.496316852,44.36721391,30.22931456,41.49510692
0.145806052,0.436703888,31.568474,18.66336097,22.23138756
0.22778626,0.347633588,40.97412207,65.64712595,31.11187316
0.183350238,0.402005149,43.41001591,48.219837,31.79617211
0.152870992,0.428747204,35.10303184,25.22602955,26.36241079
