FgR,FgG,FgB,BgX,BgY,BgZ,FgL,FgA,Fg_B,BFL,BFA,BFB,BFDis,BFTime,QCHSL,QCHSA,QCHSB,QCHSCycles,QCHSDis,QCHSOffSet,QCHSTime,QCHSRatio,QCDL,QCDA,QCDB,QCDCycles,QCDDis,QCDOffSet,QCDTime,QCDRatio,SCL,SCA,SCB,SCCycles,SCDis,SCOffSet,SCTime,SCRatio
114,41,33,0.679684442,0.222422206,0.718073547,22.23129404,17.62405017,1.694237878,15,4,37,71.95356854,16368,15,4,37,13,71.95356854,0,190,86,19,14,33,27,84.22972867,12.27616013,242,67,15,5,36,16,72.25700439,0.30343585,299,54
70,248,15,0.337509601,0.917109328,0.948622598,87.36340417,-86.17067242,85.41795013,19,16,40,57.60052245,16366,14,25,37,9,68.02362677,10.42310432,133,123,10,36,35,22,75.13447872,17.53395627,196,83,16,22,38,17,62.74129153,5.140769078,300,54
27,122,91,0.356695971,0.425375487,0.615506429,46.92196617,-32.559922,3.888165551,8,13,31,33.29212885,16327,0,20,22,21,36.07625884,2.784129993,80,204,0,20,22,21,36.07625884,2.784129993,144,113,8,19,24,3,37.29669469,4.004565836,67,243
140,124,46,0.221229446,0.165616398,0.359548103,48.97035549,-16.38912517,38.71815019,14,14,36,36.05880978,16319,14,14,36,17,36.05880978,0,210,77,13,10,35,24,37.85213548,1.7933257,269,60,14,14,36,17,36.05880978,0,300,54
59,162,152,0.681919489,0.960887107,0.357273133,62.74329262,-25.53910775,-19.4881719,5,34,3,39.318676,16226,6,33,4,19,39.36517113,0.04649513,281,57,16,24,19,29,60.80985427,21.49117827,312,52,14,23,18,5,57.0640399,17.74536389,103,157
49,4,175,0.875768094,0.038063556,0.676561753,28.39320785,68.20570901,-94.00828156,17,9,21,84.65150172,16335,17,9,21,12,84.65150172,0,156,104,17,9,22,25,85.89725278,1.245751054,232,70,17,9,21,12,84.65150172,0,218,74
159,83,23,0.511906057,0.902457117,1.031755746,36.02277346,17.1212027,30.41578589,11,36,27,89.03928494,16329,12,32,35,11,90.64132581,1.602040865,163,100,11,36,26,23,89.34333663,0.304051688,232,70,15,26,25,7,101.3625818,12.32329684,137,119
87,18,135,0.86309006,0.251002533,0.854357569,21.31980797,51.09557324,-64.80774469,15,10,21,79.32571154,15034,15,10,21,9,79.32571154,0,117,128,16,10,22,29,79.74609249,0.420380948,265,56,16,11,20,11,79.46228122,0.136569684,185,81
233,32,185,0.43274028,0.39968376,0.363793448,50.39932718,79.2654006,-56.72931978,8,37,3,33.79013016,15253,11,38,9,16,35.24699685,1.456866692,198,77,3,28,10,29,72.24238428,38.45225412,254,60,11,35,8,16,36.31617819,2.526048032,264,57
9,117,31,0.918783342,0.235588634,0.083455256,42.23874921,-42.49393345,30.15382395,18,7,32,115.6822452,15142,18,7,32,13,115.6822452,0,169,89,19,14,29,24,124.459059,8.776813804,196,77,18,8,30,14,116.8285384,1.146293145,225,67
