Type,Bg_RRGGBB, Bg_L,Bg_a,Bg_b,Bg_TD_RRGGBB,Bg_TD_L,Bg_TD_a,Bg_TD_b,Bg_ND_RRGGBB,Bg_ND_L,Bg_ND_a,Bg_ND_b,Fg_L,Fg_a,Fg_b,CS_Fg_L,CS_Fg_a,CS_Fg_b,ComC_Fg_L,ComC_Fg_a,ComC_Fg_b,GammutFlag,CSBin_Fg_L,CSBin_Fg_a,CSBin_Fg_b,Measuredc_Fg_L,Measuredc_Fg_a,Measuredc_Fg_b
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,29.79566734,13.23962675,-18.26731491,30.9138713,13.00915235,-26.74597255,5.812667752,63.45372181,-85.32501671,1,5.812667752,63.45372181,-85.32501671,33.54165095,57.14596833,-83.26300749
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,80.91526887,-47.72691725,28.07771654,59.47086041,-13.3591631,-9.305884327,76.99373618,-66.39440029,115.4798597,1,76.99373618,-66.39440029,115.4798597,66.52756469,-31.72298891,14.74231357
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,85.67234479,-18.84828756,32.79524027,60.79927589,-5.101622935,-9.539643972,82.12939811,-30.36181934,120.296032,1,82.12939811,-30.36181934,120.296032,67.52387842,-23.20806417,16.55049036
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.51315503,9.118575551,-33.07135736,53.06421948,4.947583216,-30.18125433,50.28145145,-8.101192879,4.994530493,0,50.28145145,-8.101192879,4.994530493,58.58353807,-2.185170707,-29.1206103
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.4415813,-5.385657278,47.70688467,52.6251122,-16.61415862,34.4990025,50.19337616,-28.79377258,-17.59423882,0,50.19337616,-28.79377258,-17.59423882,60.50705859,-2.629120511,-42.4804778
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,57.51315503,9.118575551,-33.07135736,53.06421948,4.947583216,-30.18125433,50.28145145,-8.101192879,4.994530493,0,50.28145145,-8.101192879,4.994530493,58.58353807,-2.185170707,-29.1206103
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,15.94943723,3.316364899,23.33707322,19.720616,-2.732893627,14.84402041,25.88403051,38.06036097,-67.98147576,0,25.88403051,38.06036097,-67.98147576,40.92859708,44.65228582,-79.98857443
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,90.42551588,-23.54899942,4.548611905,61.15489414,-0.597731799,-15.97852799,87.20698771,-34.37289306,34.4745376,0,87.20698771,-34.37289306,34.4745376,68.91032809,1.581550066,-29.88811183
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,66.8087522,-18.74550256,18.86048193,59.57576353,-14.85100968,2.944916286,61.2924552,-39.09253743,37.64342861,0,61.2924552,-39.09253743,37.64342861,66.16694317,-22.14172815,-4.348744246
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,29.82429276,21.68454874,-55.39850645,31.94311224,32.84782263,-62.1332321,5.708376348,45.97841929,-32.96707955,1,5.708376348,45.97841929,-32.96707955,30.61648836,36.28972325,-58.11620536
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,66.37823821,71.85286406,-43.16532647,45.96795041,29.22967147,-40.20122155,60.79770194,70.15266081,-20.49603462,0,60.79770194,70.15266081,-20.49603462,53.63220732,36.28291416,-57.51284313
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,60.34848756,13.07847735,62.95984772,51.83155795,-15.17637099,48.71038941,53.72363313,-1.238368493,-14.65152613,0,53.72363313,-1.238368493,-14.65152613,61.28142072,9.511199561,-43.45027039
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,38.75064472,-14.57563752,-9.716595604,39.3861019,-6.279931909,-18.36744386,22.71620569,-33.08723124,-51.37400009,1,22.71620569,-33.08723124,-51.37400009,44.70251981,22.96886121,-60.73731494
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.53545963,32.35172369,-61.47072242,46.10989321,17.71209369,-41.64742819,43.98422192,21.48518293,-41.11959017,0,43.98422192,21.48518293,-41.11959017,53.34126155,24.65447598,-58.8340555
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,85.76334776,-24.62562467,72.31335836,59.55298328,-21.94803223,38.88412095,82.22708121,-36.94544329,50.48640773,0,82.22708121,-36.94544329,50.48640773,68.63520744,-10.17557882,-8.860870066
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,33.95784184,22.57833606,27.33789769,31.58965432,11.22610057,11.99234722,10.49314261,-38.48948753,-91.36242663,1,10.49314261,-38.48948753,-91.36242663,42.36884934,42.25082386,-77.5130983
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.31830818,47.19572231,8.460705995,40.86430725,22.74087917,-18.0512172,43.70029941,41.31744202,-10.77343018,0,43.70029941,41.31744202,-10.77343018,49.54458735,32.1065787,-46.99538179
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,43.08887065,42.26997062,4.135819044,37.46286396,27.14521159,-13.15420829,30.44983612,34.54495175,-42.52169462,0,30.44983612,34.54495175,-42.52169462,45.15104234,35.34906869,-62.59006426
DND,0x39469e,32.91127083,24.71398711,-51.44824535,0x213785,25.01743187,22.19335206,-48.55347934,,,,,52.68186234,-9.750147107,37.44153989,49.09952155,-14.9429556,23.76816744,44.17514188,-42.39762927,-27.20760238,1,44.17514188,-42.39762927,-27.20760238,57.15328501,3.376535578,-48.25479223
