L,A,B,MLA,MA,MlaB,MX,My,MZ,r,g,b
34.47671553,4.723872632,-41.47858113,28.95372151,26.67792951,-58.51297173,0.08145,0.0582,0.3425,0,74,140
42.49118107,44.31062203,-86.29194333,42.7255525,81.50298179,-98.74904741,0.2849,0.12975,1.0888,0,74,246
33.85734877,-2.411658974,-33.03943228,27.60030188,16.38467312,-48.43693895,0.06485,0.0531,0.25705,0,75,124
38.58604346,25.56840318,-65.73738872,35.27182425,56.37285055,-90.73552542,0.16225,0.08635,0.78235,0,75,195
43.49969461,46.6874836,-89.24581084,44.31170497,86.02193195,-96.01430177,0.3149,0.14055,1.0888,0,75,255
34.08612982,-6.895969554,-27.88790494,27.53176938,12.17041467,-41.9935967,0.06065,0.05285,0.21825,0,77,116
38.53994232,21.21114132,-61.44751119,34.66091036,50.08937106,-85.95689347,0.1471,0.0833,0.7084,0,77,187
42.44422117,39.36394302,-81.7141501,41.57150886,76.82469557,-100.7387778,0.26095,0.12225,1.0888,0,77,237
34.07215977,-10.28060871,-23.67840227,27.54549315,9.101151216,-38.65935733,0.05795,0.0529,0.20025,0,78,109
34.67353792,-5.529847042,-29.95899424,28.08749642,13.28209191,-44.5995047,0.0639,0.0549,0.2388,0,78,121
43.43238546,41.81437869,-84.74245169,43.05560469,80.66659226,-98.17999192,0.2864,0.13195,1.0888,0,78,246
33.74079317,-16.62977411,-14.99105941,27.61398255,-0.079129411,-26.22810236,0.05045,0.05315,0.142,0,79,94
38.46710368,16.42078087,-56.60950404,34.12824508,43.32292879,-78.90612867,0.1327,0.0807,0.6151,0,79,178
34.38067295,-14.55965324,-18.31898773,28.77276725,1.172364173,-27.99344929,0.05565,0.0575,0.1584,0,80,101
34.11708961,-20.65521532,-9.44454729,27.38023352,-6.77003939,-19.12535308,0.0445,0.0523,0.11275,0,81,86
34.42792955,-17.75207314,-13.93938636,28.19431088,-1.041221642,-23.40949784,0.0517,0.0553,0.1345,0,81,94
38.50930977,11.98184848,-52.09397674,33.48859709,40.00972927,-73.33714307,0.1236,0.07765,0.5436,0,81,170
43.42410247,36.8206558,-80.10485127,42.56671136,73.07379371,-99.02291145,0.26225,0.1287,1.0888,0,81,237
33.98772664,-25.93728609,-0.843893172,27.79105563,-5.814936761,-18.41703909,0.04655,0.0538,0.11275,0,82,72
34.21642549,-23.61445976,-4.914324449,27.08796128,-8.950281967,-14.07314781,0.042,0.05125,0.0939,0,82,79
33.92280205,-30.92535303,8.557883744,26.66342174,-16.99098561,-2.550504634,0.03535,0.04975,0.06,0,83,57
34.1069717,-28.9039816,4.388160013,27.00372263,-16.05319658,-6.33752673,0.0369,0.05095,0.07095,0,83,64
38.53174588,7.139345963,-47.006875,33.027563,33.62782928,-67.71768071,0.11175,0.0755,0.4803,0,83,161
33.95690123,-35.10177869,18.00016072,26.5343985,-16.90833742,3.982064895,0.03505,0.0493,0.0454,0,84,42
34.11911352,-33.20464016,13.23919836,27.61398255,-19.14370477,2.587062904,0.0366,0.05315,0.0521,0,84,50
34.91641404,-24.62470824,-3.874886216,28.60341853,-9.710344232,-11.36608706,0.04625,0.05685,0.0936,0,84,79
43.39847835,31.36476695,-74.93411809,41.60288727,66.58144365,-100.6846771,0.23735,0.12245,1.0888,0,84,227
33.84509602,-41.4070041,39.96769186,27.26935704,-23.30402225,9.646694334,0.03305,0.0519,0.0373,0,85,0
