BinNo,Dsno,Distance,l,a,b,lx,ax,bx
293,18887,3.07875201430196,47.92602136,-53.10422168,51.25831281,50,-55,50,
294,21164,3.43669762239593,52.76895074,-6.039652094,-42.39842308,55,-5,-40,
295,21119,3.24107598858196,52.64321307,-9.810209313,-37.78322116,55,-10,-40,
296,18887,1.79126999534637,48.95635245,-53.65973202,50.56844501,50,-55,50,
297,21076,3.33328204096051,52.50554156,-16.85922199,-28.80344668,55,-15,-30,
298,21075,3.34029050645547,52.8401455,-14.0778205,-32.62467809,55,-15,-35,
299,21119,2.10165677336518,53.41332091,-9.503368123,-38.71439997,55,-10,-40,
300,19187,2.69925399856179,52.45038456,-20.46346597,-23.96714621,50,-20,-25,
301,21031,3.53189102553,53.10781169,-17.914074,-27.86861774,55,-20,-30,
302,21294,3.57388020703487,57.31602341,12.43543838,-66.21544033,55,10,-65,
303,20988,2.5619000119973,52.76243165,-24.1516501,-19.08516559,55,-25,-20,
304,21032,1.79338690575416,53.21205967,-20.13849585,-24.98197586,55,-20,-25,
305,19100,2.495005803256,52.49271196,-30.09338659,-10.0521535,50,-30,-10,
306,20944,3.42743345583795,52.75571642,-27.56623391,-14.11271542,55,-30,-15,
307,21295,3.42978715182104,57.35378726,8.087084017,-61.60121138,55,10,-60,
308,19057,2.51634422040604,52.29880924,-35.64701144,-0.792994647,50,-35,0,
309,20901,3.19201446287102,52.55806569,-32.99982145,-5.474551288,55,-35,-5,
310,21251,3.22203136065288,57.36877755,3.394645994,-56.48095156,55,5,-55,
311,20858,2.69200238909522,52.71918655,-38.73675155,4.329947597,55,-40,5,
312,18971,3.16141984597516,52.47743755,-45.35869512,18.06914101,50,-45,20,
313,20815,3.0421112591639,52.640725,-43.49799188,13.80324021,55,-45,15,
314,20859,2.68553494274774,52.84186876,-41.25962266,9.016171644,55,-40,10,
315,21207,3.13742427345106,57.46726547,-0.92350793,-51.70386774,55,0,-50,
316,20772,3.61431859797789,52.50328344,-49.21033169,27.49121041,55,-50,25,
317,20772,3.75154080113066,52.63445771,-47.64841964,23.28292753,55,-50,25,
318,18887,3.00736762822619,52.35953096,-55.37076484,48.17259552,50,-55,50,
319,18886,3.58325233176868,52.46430695,-54.03166625,42.58562259,50,-55,45,
320,20729,4.20568489986089,52.57500345,-52.63953111,37.49707105,55,-55,35,
321,20815,1.8251351542344,53.25995422,-44.49508464,15.2200443,55,-45,15,
322,23008,3.04202101017641,57.59444376,-5.208012598,-46.85038422,60,-5,-45,
323,21119,3.36072400395351,57.06437317,-12.01960977,-38.28127791,55,-10,-40,
324,22964,3.01050651261472,57.74988734,-9.446072655,-41.92179785,60,-10,-40,
325,21075,3.11377833080477,57.26623723,-16.16812644,-33.2124696,55,-15,-35,
326,22920,3.85047808006474,57.6435628,-13.09184281,-37.37325121,60,-15,-35,
327,21031,2.66050136153747,57.20014812,-19.72303226,-28.52999843,55,-20,-30,
328,20988,2.58465401742618,57.167522,-26.29771527,-19.45390491,55,-25,-20,
329,20987,3.20325192366248,57.49022836,-23.37911183,-23.80320965,55,-25,-25,
330,20944,2.23527174310258,57.16378043,-29.62347559,-14.58439997,55,-30,-15,
331,20901,2.05493635359239,56.94183122,-35.22699042,-5.632874616,55,-35,-5,
332,22833,3.49670021779747,57.76748744,-27.26029141,-18.53921842,60,-25,-20,
333,22745,3.20448635527184,57.51628692,-32.99751434,-9.700077812,60,-35,-10,
334,20857,2.67001536358127,57.30524542,-38.66162918,-0.153587576,55,-40,0,
335,20814,2.77359859452121,57.19136744,-43.59197192,9.04699694,55,-45,10,
336,20858,2.78129348809423,57.40734734,-41.25557647,4.396841663,55,-40,5,
337,23007,3.66576098990398,61.80502563,-2.97746181,-52.46759506,60,-5,-50,
338,23051,2.60012162160144,62.239877,0.120699486,-56.31492019,60,0,-55,
339,20771,3.19919608941496,56.9942153,-49.73910767,22.48795019,55,-50,20,
340,20771,3.36599446285994,57.14305632,-48.01611313,18.32625533,55,-50,20,
341,20729,2.822326711805,56.89363193,-55.08832871,37.09090512,55,-55,35,
